Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,Zip code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
2024-01-06 06:00:00,Debt collection,Online savings,Billing dispute,Wrong balance,The loan terms were not clearly explained.,No response,Wells Fargo,CA,13020,,No,Email,2024-01-06 06:00:00,In progress,Yes,Yes,1000126
2024-01-06 07:00:00,"Buy Now, Pay Later (BNPL)",Rewards card,Account closure,Wrong balance,Money was transferred to the wrong account.,Company has responded,Citibank,WA,51755,Servicemember,Unknown,Phone,2024-01-06 07:00:00,In progress,Yes,No,1000127
2024-01-06 08:00:00,"Buy Now, Pay Later (BNPL)",Rewards card,Incorrect information,Late fee,Money was transferred to the wrong account.,Company has responded,Citibank,TX,95956,,Yes,Email,2024-01-06 08:00:00,Closed,No,Yes,1000128
2024-01-06 09:00:00,Credit card,Installment loan,Incorrect information,Unauthorized transaction,Money was transferred to the wrong account.,Company has responded,Citibank,NY,96988,Older American,No,Web,2024-01-06 09:00:00,Closed,No,Yes,1000129
2024-01-06 10:00:00,"Buy Now, Pay Later (BNPL)",Installment loan,Incorrect information,Wrong balance,Money was transferred to the wrong account.,Company has responded,Citibank,CA,55648,Older American,No,Email,2024-01-06 10:00:00,In progress,Yes,Unknown,1000130
2024-01-06 11:00:00,"Buy Now, Pay Later (BNPL)",Installment loan,Billing dispute,Late fee,I was charged twice for the same transaction.,No response,Wells Fargo,TX,19516,Older American,No,Email,2024-01-06 11:00:00,Closed with explanation,No,Unknown,1000131
2024-01-06 12:00:00,Credit card,Installment loan,Incorrect information,Late fee,My savings account was closed without notice.,No response,Kifiya,TX,12396,Servicemember,Yes,Email,2024-01-06 12:00:00,Closed,No,Unknown,1000132
2024-01-06 13:00:00,"Buy Now, Pay Later (BNPL)",Installment loan,Account closure,Unauthorized transaction,The loan terms were not clearly explained.,Company has responded,Kifiya,NY,94082,,Unknown,Web,2024-01-06 13:00:00,Closed with explanation,Yes,Unknown,1000133
2024-01-06 14:00:00,Money transfers,Online savings,Incorrect information,Wrong balance,The loan terms were not clearly explained.,Company has responded,Chime,WA,29129,Servicemember,Yes,Phone,2024-01-06 14:00:00,Closed,Yes,No,1000134
2024-01-06 15:00:00,Personal loan,Rewards card,Incorrect information,Wrong balance,Money was transferred to the wrong account.,No response,Wells Fargo,GA,11591,Servicemember,No,Web,2024-01-06 15:00:00,In progress,Yes,Unknown,1000135
2024-01-06 16:00:00,Debt collection,Rewards card,Account closure,Late fee,Money was transferred to the wrong account.,Company has responded,Citibank,GA,21303,Older American,Yes,Phone,2024-01-06 16:00:00,Closed,No,Yes,1000136
2024-01-06 17:00:00,Personal loan,Rewards card,Incorrect information,Late fee,I am writing to file a complaint about my credit card.,No response,Wells Fargo,TX,40561,Servicemember,Yes,Phone,2024-01-06 17:00:00,In progress,Yes,No,1000137
2024-01-06 18:00:00,Credit card,Rewards card,Billing dispute,Unauthorized transaction,My savings account was closed without notice.,Company has responded,Chime,NY,81719,Servicemember,Unknown,Email,2024-01-06 18:00:00,Closed,No,Unknown,1000138
2024-01-06 19:00:00,Savings account,Installment loan,Billing dispute,Unauthorized transaction,I was charged twice for the same transaction.,Company has responded,Chime,GA,96231,Older American,Unknown,Phone,2024-01-06 19:00:00,In progress,Yes,Yes,1000139
2024-01-06 20:00:00,Debt collection,Rewards card,Billing dispute,Wrong balance,The loan terms were not clearly explained.,Company has responded,Wells Fargo,TX,17314,Servicemember,No,Web,2024-01-06 20:00:00,In progress,Yes,No,1000140
2024-01-06 21:00:00,Credit card,Online savings,Account closure,Wrong balance,I am writing to file a complaint about my credit card.,Company has responded,Wells Fargo,WA,29623,Older American,Yes,Web,2024-01-06 21:00:00,In progress,Yes,No,1000141
2024-01-06 22:00:00,Savings account,Online savings,Incorrect information,Late fee,I am writing to file a complaint about my credit card.,Company has responded,Wells Fargo,GA,77675,Older American,Yes,Phone,2024-01-06 22:00:00,In progress,No,Unknown,1000142
2024-01-06 23:00:00,Personal loan,Rewards card,Billing dispute,Wrong balance,The loan terms were not clearly explained.,Company has responded,Kifiya,TX,75082,Older American,Unknown,Email,2024-01-06 23:00:00,Closed with explanation,No,No,1000143
2024-01-07 00:00:00,Credit card,Rewards card,Account closure,Unauthorized transaction,I was charged twice for the same transaction.,Company has responded,Citibank,TX,93624,Older American,Yes,Email,2024-01-07 00:00:00,In progress,Yes,Yes,1000144
2024-01-07 01:00:00,Debt collection,Online savings,Incorrect information,Unauthorized transaction,I am writing to file a complaint about my credit card.,No response,Wells Fargo,CA,43130,Servicemember,Yes,Web,2024-01-07 01:00:00,Closed with explanation,Yes,No,1000145
2024-01-07 02:00:00,Debt collection,Online savings,Account closure,Late fee,I am writing to file a complaint about my credit card.,No response,Wells Fargo,WA,61756,Older American,Yes,Email,2024-01-07 02:00:00,Closed with explanation,Yes,Yes,1000146
2024-01-07 03:00:00,Mortgage,Installment loan,Billing dispute,Unauthorized transaction,My savings account was closed without notice.,No response,Wells Fargo,CA,36292,Older American,Unknown,Phone,2024-01-07 03:00:00,In progress,No,No,1000147
2024-01-07 04:00:00,Money transfers,Online savings,Billing dispute,Unauthorized transaction,I was charged twice for the same transaction.,No response,Chime,NY,96206,Servicemember,No,Phone,2024-01-07 04:00:00,Closed with explanation,Yes,Unknown,1000148
2024-01-07 05:00:00,"Buy Now, Pay Later (BNPL)",Installment loan,Billing dispute,Unauthorized transaction,I am writing to file a complaint about my credit card.,No response,Chime,CA,79274,Servicemember,No,Web,2024-01-07 05:00:00,Closed,No,Yes,1000149
2024-01-07 06:00:00,Savings account,Installment loan,Account closure,Unauthorized transaction,I was charged twice for the same transaction.,Company has responded,Kifiya,CA,12469,,Yes,Phone,2024-01-07 06:00:00,In progress,Yes,No,1000150
2024-01-07 07:00:00,Mortgage,Installment loan,Account closure,Late fee,The loan terms were not clearly explained.,Company has responded,Citibank,GA,63947,Servicemember,No,Web,2024-01-07 07:00:00,Closed with explanation,Yes,No,1000151
2024-01-07 08:00:00,"Buy Now, Pay Later (BNPL)",Installment loan,Billing dispute,Late fee,Money was transferred to the wrong account.,No response,Kifiya,TX,32534,Servicemember,Unknown,Phone,2024-01-07 08:00:00,In progress,Yes,No,1000152
2024-01-07 09:00:00,"Buy Now, Pay Later (BNPL)",Installment loan,Account closure,Wrong balance,I am writing to file a complaint about my credit card.,Company has responded,Citibank,WA,73620,,Unknown,Web,2024-01-07 09:00:00,In progress,Yes,Yes,1000153
2024-01-07 10:00:00,Credit card,Rewards card,Billing dispute,Unauthorized transaction,My savings account was closed without notice.,No response,Chime,CA,58874,Servicemember,No,Email,2024-01-07 10:00:00,In progress,Yes,Yes,1000154
2024-01-07 11:00:00,"Buy Now, Pay Later (BNPL)",Online savings,Billing dispute,Wrong balance,The loan terms were not clearly explained.,No response,Chime,WA,59708,Servicemember,No,Phone,2024-01-07 11:00:00,Closed with explanation,Yes,Yes,1000155
2024-01-07 12:00:00,Money transfers,Installment loan,Incorrect information,Late fee,I was charged twice for the same transaction.,Company has responded,Chime,CA,84553,Servicemember,Yes,Phone,2024-01-07 12:00:00,Closed,No,Unknown,1000156
2024-01-07 13:00:00,Debt collection,Online savings,Account closure,Late fee,The loan terms were not clearly explained.,Company has responded,Kifiya,NY,78344,Servicemember,No,Web,2024-01-07 13:00:00,Closed,Yes,Unknown,1000157
2024-01-07 14:00:00,Mortgage,Online savings,Billing dispute,Late fee,I am writing to file a complaint about my credit card.,Company has responded,Wells Fargo,CA,59138,,Yes,Web,2024-01-07 14:00:00,Closed with explanation,No,Yes,1000158
2024-01-07 15:00:00,"Buy Now, Pay Later (BNPL)",Installment loan,Billing dispute,Late fee,I was charged twice for the same transaction.,No response,Wells Fargo,GA,64302,Servicemember,Yes,Phone,2024-01-07 15:00:00,In progress,Yes,No,1000159
2024-01-07 16:00:00,Credit card,Rewards card,Account closure,Late fee,Money was transferred to the wrong account.,Company has responded,Chime,TX,57638,Servicemember,Unknown,Web,2024-01-07 16:00:00,Closed with explanation,Yes,Unknown,1000160
2024-01-07 17:00:00,Money transfers,Installment loan,Incorrect information,Late fee,The loan terms were not clearly explained.,No response,Wells Fargo,NY,88249,,Unknown,Phone,2024-01-07 17:00:00,Closed with explanation,No,Yes,1000161
2024-01-07 18:00:00,Personal loan,Rewards card,Incorrect information,Late fee,I am writing to file a complaint about my credit card.,No response,Wells Fargo,CA,12719,Older American,Unknown,Email,2024-01-07 18:00:00,Closed with explanation,Yes,No,1000162
2024-01-07 19:00:00,Debt collection,Online savings,Billing dispute,Unauthorized transaction,My savings account was closed without notice.,No response,Kifiya,WA,32890,,Unknown,Web,2024-01-07 19:00:00,In progress,No,Unknown,1000163
2024-01-07 20:00:00,Debt collection,Rewards card,Account closure,Wrong balance,I was charged twice for the same transaction.,Company has responded,Citibank,NY,87236,Older American,No,Phone,2024-01-07 20:00:00,Closed with explanation,No,No,1000164
2024-01-07 21:00:00,Mortgage,Rewards card,Incorrect information,Late fee,The loan terms were not clearly explained.,Company has responded,Chime,NY,46509,,Unknown,Email,2024-01-07 21:00:00,In progress,Yes,No,1000165
2024-01-07 22:00:00,Debt collection,Rewards card,Account closure,Unauthorized transaction,The loan terms were not clearly explained.,No response,Chime,CA,52534,,No,Email,2024-01-07 22:00:00,Closed with explanation,No,No,1000166
2024-01-07 23:00:00,"Buy Now, Pay Later (BNPL)",Online savings,Account closure,Unauthorized transaction,Money was transferred to the wrong account.,Company has responded,Kifiya,NY,28787,Servicemember,Unknown,Phone,2024-01-07 23:00:00,Closed,No,No,1000167
2024-01-08 00:00:00,Credit card,Online savings,Billing dispute,Wrong balance,Money was transferred to the wrong account.,Company has responded,Kifiya,WA,58845,Older American,No,Web,2024-01-08 00:00:00,Closed with explanation,Yes,Unknown,1000168
2024-01-08 01:00:00,Debt collection,Rewards card,Incorrect information,Late fee,My savings account was closed without notice.,Company has responded,Wells Fargo,NY,67932,Servicemember,Yes,Phone,2024-01-08 01:00:00,Closed with explanation,No,Unknown,1000169
2024-01-08 02:00:00,Debt collection,Rewards card,Billing dispute,Wrong balance,My savings account was closed without notice.,No response,Chime,WA,43062,Older American,No,Email,2024-01-08 02:00:00,Closed,Yes,Unknown,1000170
2024-01-08 03:00:00,Personal loan,Installment loan,Incorrect information,Late fee,I am writing to file a complaint about my credit card.,No response,Citibank,CA,85713,,No,Phone,2024-01-08 03:00:00,In progress,Yes,Yes,1000171
2024-01-08 04:00:00,Personal loan,Rewards card,Incorrect information,Unauthorized transaction,I am writing to file a complaint about my credit card.,Company has responded,Kifiya,TX,97263,,Unknown,Web,2024-01-08 04:00:00,In progress,Yes,Unknown,1000172
2024-01-08 05:00:00,Savings account,Installment loan,Incorrect information,Unauthorized transaction,My savings account was closed without notice.,No response,Citibank,NY,70461,Older American,No,Email,2024-01-08 05:00:00,Closed with explanation,Yes,No,1000173
2024-01-08 06:00:00,Money transfers,Rewards card,Incorrect information,Unauthorized transaction,My savings account was closed without notice.,Company has responded,Citibank,TX,85418,Servicemember,Yes,Phone,2024-01-08 06:00:00,Closed,No,Unknown,1000174
2024-01-08 07:00:00,"Buy Now, Pay Later (BNPL)",Installment loan,Incorrect information,Unauthorized transaction,I was charged twice for the same transaction.,Company has responded,Chime,WA,76672,Servicemember,Yes,Web,2024-01-08 07:00:00,In progress,Yes,No,1000175
2024-01-08 08:00:00,Debt collection,Online savings,Account closure,Wrong balance,Money was transferred to the wrong account.,Company has responded,Chime,NY,44832,Servicemember,Unknown,Email,2024-01-08 08:00:00,Closed with explanation,Yes,Yes,1000176
2024-01-08 09:00:00,Debt collection,Rewards card,Billing dispute,Late fee,I am writing to file a complaint about my credit card.,Company has responded,Kifiya,GA,41966,Servicemember,Yes,Web,2024-01-08 09:00:00,Closed,No,No,1000177
2024-01-08 10:00:00,Credit card,Rewards card,Account closure,Late fee,Money was transferred to the wrong account.,No response,Chime,TX,82545,,No,Email,2024-01-08 10:00:00,In progress,Yes,No,1000178
2024-01-08 11:00:00,Savings account,Rewards card,Incorrect information,Wrong balance,Money was transferred to the wrong account.,No response,Chime,NY,22987,,Yes,Phone,2024-01-08 11:00:00,In progress,Yes,No,1000179
2024-01-08 12:00:00,Money transfers,Rewards card,Billing dispute,Late fee,My savings account was closed without notice.,No response,Chime,TX,47311,,Unknown,Web,2024-01-08 12:00:00,Closed,No,Yes,1000180
2024-01-08 13:00:00,Savings account,Installment loan,Incorrect information,Unauthorized transaction,I was charged twice for the same transaction.,Company has responded,Citibank,NY,41575,,No,Email,2024-01-08 13:00:00,Closed,No,Unknown,1000181
2024-01-08 14:00:00,Mortgage,Rewards card,Billing dispute,Late fee,The loan terms were not clearly explained.,Company has responded,Kifiya,CA,73852,,Unknown,Web,2024-01-08 14:00:00,Closed,No,Unknown,1000182
2024-01-08 15:00:00,Money transfers,Online savings,Account closure,Unauthorized transaction,I was charged twice for the same transaction.,Company has responded,Wells Fargo,TX,11007,Servicemember,No,Web,2024-01-08 15:00:00,Closed,No,Yes,1000183
2024-01-08 16:00:00,Debt collection,Online savings,Billing dispute,Wrong balance,I was charged twice for the same transaction.,No response,Citibank,GA,80981,Servicemember,Yes,Phone,2024-01-08 16:00:00,Closed with explanation,No,No,1000184
2024-01-08 17:00:00,Debt collection,Rewards card,Billing dispute,Late fee,Money was transferred to the wrong account.,Company has responded,Chime,GA,86242,Servicemember,Unknown,Web,2024-01-08 17:00:00,Closed,No,Unknown,1000185
2024-01-08 18:00:00,Money transfers,Online savings,Billing dispute,Wrong balance,I was charged twice for the same transaction.,No response,Citibank,WA,57517,Servicemember,Unknown,Email,2024-01-08 18:00:00,In progress,No,Yes,1000186
2024-01-08 19:00:00,Debt collection,Rewards card,Billing dispute,Late fee,I am writing to file a complaint about my credit card.,No response,Chime,NY,39257,,No,Email,2024-01-08 19:00:00,In progress,Yes,Unknown,1000187
2024-01-08 20:00:00,"Buy Now, Pay Later (BNPL)",Rewards card,Billing dispute,Unauthorized transaction,Money was transferred to the wrong account.,No response,Chime,TX,97272,,Unknown,Email,2024-01-08 20:00:00,Closed with explanation,No,Yes,1000188
2024-01-08 21:00:00,Money transfers,Online savings,Incorrect information,Wrong balance,I am writing to file a complaint about my credit card.,No response,Citibank,WA,52207,,No,Email,2024-01-08 21:00:00,In progress,No,No,1000189
2024-01-08 22:00:00,Savings account,Rewards card,Billing dispute,Late fee,The loan terms were not clearly explained.,No response,Kifiya,TX,23281,Older American,No,Phone,2024-01-08 22:00:00,In progress,No,Unknown,1000190
2024-01-08 23:00:00,Money transfers,Online savings,Billing dispute,Unauthorized transaction,Money was transferred to the wrong account.,No response,Chime,NY,71246,Servicemember,No,Web,2024-01-08 23:00:00,Closed,Yes,Yes,1000191
2024-01-09 00:00:00,Debt collection,Installment loan,Account closure,Wrong balance,The loan terms were not clearly explained.,Company has responded,Kifiya,GA,11435,Servicemember,No,Phone,2024-01-09 00:00:00,In progress,Yes,Unknown,1000192
2024-01-09 01:00:00,"Buy Now, Pay Later (BNPL)",Rewards card,Billing dispute,Wrong balance,Money was transferred to the wrong account.,Company has responded,Wells Fargo,CA,36660,,Yes,Web,2024-01-09 01:00:00,Closed with explanation,No,Unknown,1000193
2024-01-09 02:00:00,"Buy Now, Pay Later (BNPL)",Installment loan,Account closure,Late fee,My savings account was closed without notice.,No response,Chime,GA,15084,Servicemember,No,Web,2024-01-09 02:00:00,Closed,No,Unknown,1000194
2024-01-09 03:00:00,Mortgage,Online savings,Incorrect information,Late fee,I was charged twice for the same transaction.,No response,Kifiya,WA,92197,Servicemember,Unknown,Web,2024-01-09 03:00:00,Closed,No,Unknown,1000195
2024-01-09 04:00:00,Savings account,Installment loan,Billing dispute,Late fee,My savings account was closed without notice.,Company has responded,Kifiya,CA,23507,,Yes,Phone,2024-01-09 04:00:00,Closed with explanation,Yes,Yes,1000196
2024-01-09 05:00:00,Personal loan,Installment loan,Account closure,Unauthorized transaction,The loan terms were not clearly explained.,No response,Wells Fargo,WA,82595,Older American,Unknown,Web,2024-01-09 05:00:00,Closed,Yes,No,1000197
2024-01-09 06:00:00,Personal loan,Online savings,Account closure,Late fee,I was charged twice for the same transaction.,No response,Kifiya,NY,93807,Older American,Yes,Phone,2024-01-09 06:00:00,Closed,No,Yes,1000198
2024-01-09 07:00:00,Money transfers,Installment loan,Incorrect information,Wrong balance,Money was transferred to the wrong account.,Company has responded,Kifiya,CA,55539,Older American,No,Email,2024-01-09 07:00:00,Closed with explanation,Yes,Yes,1000199
